label	col_00	col_01	col_02	col_03	col_04	col_05	col_06	col_07	col_08	col_09	col_10	col_11	col_12	col_13	col_14
1	80 m^2	0.2456	soccer	Inan	0.7685 N	fish	-645	-1021	0.1288	-398	985	-1.0905	2.5654	-647	-0.1683
1	-693 m^2	0.8417	soccer	Inan	-1.0814 N	chicken	-318	-307	-1.7345	151	-218	1.2492	-0.258	286	-0.0728
0	-1341 m^2	-0.1213	football	Eriq	0.8422 N	pig	21	-475	0.0546	310	1613	0.8839	0.8751	1392	1.4871
1	63 m^2	0.9334	NULL	Inan	-0.041 N	ferret	-630	-1814	0.6186	471	956	0.384	0.3759	504	0.9108
2	2473 m^2	0.8001	boxing	Tony, Lise	-0.5143 N	DOG	-65	997	-0.5142	841	-2544	1.1167	-0.0558	2335	0.9387
2	2071 m^2	0.2269	soccer	Lise	0.5109 N	rat	-904	-152	0.5294	-409	-474	1.4509	0.5007	-401	0.2041
1	-424 m^2	0.8085	soccer	Inan	1.1535 N	ferret	364	-608	0.8995	-361	392	0.0592	1.1392	-1583	1.0041
2	1019 m^2	-0.9676	badminton	Vani	-0.4697 N	reptile	443	-685	0.4938	1237	762	0.9553	-1.9692	1232	NULL
2	1999 m^2	0.7289	badminton	tony	-0.4139 N	dog	11	282	-0.0609	2060	814	1.7235	0.3525	629	0.1622
1	731 m^2	0.9443	Track & Field	Inan	1.2124 N	fish	979	1079	-0.1427	369	?	0.1708	1.6934	1616	1.4962
2	-321 m^2	0.3254	basketball	Chris, Tony	1.5439 N	dog	163	335	0.1995	569	-37	0.6837	-1.0046	1058	-0.3741
0	9 m^2	0.6825	FOOTBALL	Eriq	0.0097 N	pig	-937	480	1.5779	842	1002	2.5607	1.2364	136	1.0587
3	1371 m^2	-0.3249	motor sports	Fabrice	0.7804 N	hamster	931	184	-0.3145	2254	37	0.1996	-0.3863	1676	-0.7878
1	-789 m^2	0.3743	golf	Michael	1.424 N	chicken	774	-75	0.3108	1570	-266	0.6283	0.751	546	-1.4675
3	20 m^2	0.8801	motor sports	Reilly, Sam	0.5942 N	bird	1844	523	2.0485	655	-629	0.2464	-0.593	1805	-0.3043
0	128 m^2	0.5574	football	Eriq	1.6344 N	pig	1364	520	0.5646	-264	1224	0.1515	0.3246	616	-0.3643
1	203 m^2	1.9575	running	Inan	0.3645 N	rabbit	408	485	1.8666	-868	-699	1.116	-1.0011	-433	0.3578
0	-649 m^2	1.0274	football	Eriq	-0.0494 N	pig	1174	379	0.2154	-408	-3	0.6284	0.6325	846	0.8066
2	1640 m^2	-0.0287	ice hockey	Chris, Lise	-0.5345 N	dog	-221	-31	0.5036	700	1023	0.2692	0.9087	1074	-0.0757
3	1562 m^2	0.2545	motor sports	Andrew, Sam, Reilly	1.0284 N	pig	2025	256	0.3665	57	-189	1.7865	0.2648	-177	-0.5269
3	1278 m^2	0.4885	tennis	Fabrice, Andrew, Reilly	-2.3628 N	bird	2463	852	1.9099	60	-19	0.9469	1.0267	-266	0.4139
3	800 m^2	-0.6904	golf	Sam, Andrew	1.0755 N	bird	-191	1819	0.8143	85	558	1.9872	-0.4446	258	-1.1875
1	263 m^2	0.5006	track & field	Michael	-0.1403 N	None	-126	-457	2.2467	-1204	-875	1.2798	0.4957	1292	-0.4857
1	-2325 m^2	0.1144	track & field	Michael	0.0084 N	chicken	1041	-309	-1.1676	688	-888	0.8749	0.8012	-702	-0.3652
1	155 m^2	-0.6985	track & field	Michael	-0.8098 N	rabbit	26	-978	0.1295	2060	-545	-0.4826	-0.1919	50	0.2288
2	184 m^2	0.8743	badminton	Lise, Chris	1.6779 N	dog	213	-374	0.2822	726	-163	-0.2309	-0.7467	1293	-0.6126
0	-627 m^2	0.5668	baseball	Eriq	1.181 N	Pig	-352	1920	-0.1249	845	1807	1.887	0.6817	1195	0.5304
2	-95 m^2	0.8397	volleyball	Vani	1.1062 N	reptile	933	-331	0.6953	1564	180	0.9335	0.5064	922	0.4531
2	677 m^2	-0.6901	boxing	Tony, Vani	1.6142 N	rat	-327	422	0.3451	133	-1047	1.3506	-0.8052	-367	-0.0594
0	-790 m^2	0.682	basketball	Eriq	0.6763 N	pig	2011	2127	0.4777	1417	-636	0.3394	-0.6303	1263	1.2325
0	-84 m^2	0.9802	football	Eriq	-1.503 N	pig	420	783	-0.5397	232	403	1.4907	-1.3289	87	-0.2162
2	1893 m^2	0.3383	boxing	Vani, Chris, Lise	-1.1467 N	rat	158	-102	0.4477	-111	1199	-0.9994	1.1903	-227	1.2524
1	722 m^2	0.4255	soccer	Michael	1.1874 N	chicken	-1187	18	1.0628	-337	-662	-0.5841	-0.0595	-294	-0.3811
1	-235 m^2	0.6292	soccer	Inan	1.1302 N	rabbit	-501	1027	-0.6735	1957	-765	0.1377	-0.6345	998	-0.0868
3	2907 m^2		badminton	Andrew	0.9102 N	bird	147	2199	0.1372	674	1276	0.2796	0.2715	1289	0.2378
1	-285 m^2	1.231	Track & Field	Michael	2.6163 N	chicken	187	-1125	-0.4966	-68	-852	0.8027	1.8484	16	0.1127
2	1193 m^2	0.2727	ice hockey	Inan	0.6868 N	reptile	76	-502	0.4193	NULL	1136	0.5283	-0.6696	-135	0.2866
3	1130 m^2	0.4156	golf	Reilly, Andrew	0.7232 N	hamster	-338	1652	-1.8257	433	-733	1.0183	0.4312	353	-0.5426
2	1419 m^2	-0.6759	badminton	Vani	-0.2476 N	reptile	233	1119	0.0893	1623	1248	0.9854	0.5126	1363	-0.3504
1	-377 m^2	0.5057	track & field	Inan	-0.7391 N	chicken	-661	-779	-0.089	550	689	0.769	0.8227	10	-0.2422
1	1638 m^2	0.3318	track & field	Inan	-0.079 N	rabbit	-612	-571	0.2791	417	188	0.8549	0.306	1083	1.2686
2	100 m^2	0.0051	track & field	Vani, Chris	0.6757 N	reptile	412	87	-0.25	1397	-610	0.595	0.2662	332	0.1958
0	136 m^2	-1.3519	basketball	Eriq	-1.2263 N	pig	2478	1406	0.8254	-578	247	0.3629	0.0908	748	0.1622
1	-717 m^2	0.7831	track & field	Michael	1.4576 N	fish	1608	-861	1.0263	254	2046	-0.3634	0.2242	-454	0.8778
3	671 m^2	0.2257	motor sports	Reilly, Sam, Andrew	0.3229 N	hamster	1765	2061	-0.7878	-352	367	1.2555	2.3528	-576	-0.1435
3	-264 m^2	0.1408	tennis	Andrew	0.6873 N	bird	1587	889	-0.1134	354	376	1.6017	2.1983	211	-0.7575
3	15 m^2	-0.5338	motor sports	fABRICE, sAM, rEILLY	-1.181 N	hamster	-34	1087	-1.3323	1007	115	1.2484	-0.0012	1220	-0.262
3	846 m^2	NULL	tennis	Andrew, Sam, Reilly	1.1919 N	cat	-2	65	0.4736	-128	1339	1.4472	0.9495	178	0.0178
0	78 m^2	1.0543	basketball	Eriq	-0.0005 N	pig	2008	2680	-0.0382	1208	1431	0.4113	0.1814	1414	0.1607
1	-418 m^2	1.8589	track & field	Michael	0.3407 N	ferret	-304	1002	0.8116	30	936	1.0842	-0.6121	1283	-0.3149
1	-1298 m^2	0.4204	soccer	Michael	0.7669 N	chicken	37	-1539	1.1674	-312	248	1.5874	-0.5688	1318	-0.1953
2	1310 m^2	-0.1822	badminton	Tony, Vani	N/A	dog	-156	942	1.1715	1732	-793	1.5132	1.6367	640	0.2193
2	867 m^2	0.0343	boxing	Tony, Chris, Lise	0.4112 N	reptile	-211	223	0.7064	395	1180	0.6939	1.3658	1146	-1.3648
2	207 m^2	1.1833	boxing	lise, tony	-0.3155 N	guinea pig	2534	-60	-1.909	1167	431	-0.2637	-1.6995	774	-0.0498
2	844 m^2	0.6598	ice hockey	cHRIS, lISE, tONY	1.0138 N	guinea pig	1501	-1257	0.6852	1097	483	0.3649	0.4871	1024	0.0783
3	2276 m^2	-0.5645	golf	Sam	0.9169 N	cat	193	1010	1.1823	1076	362	0.9221	2.0069	398	-0.1072
1	117 m^2	-0.4132	soccer	Michael	-0.1847 N	ferret	-105	-715	1.6115	-140	-1873	-0.6169	0.4129	-1161	-0.1593
1	-695 m^2	-0.0433	soccer	Michael	0.5711 N	rabbit	529	-265	0.5363	519	-278	-0.1102	1.7548	1082	0.4945
1	443 m^2	-0.3528	TRACK & FIELD	Inan	1.7229 N	chicken	408	81	-0.0255	-639	334	0.4966	2.1757	1159	0.0762
1	668 m^2	-0.127	track & field	Inan	1.0783 N	reptile	759	918	1.2004	915	695	1.174	0.1562	-583	0.8074
0	476 m^2	-0.1733	basketball	Eriq	0.0589 N	pig	467	689	1.4098	-48	1087	0.4101	-0.5952	1843	1.0706
2	242 m^2	0.4471	ICE HOCKEY	Lise	1.9939 N	guinea pig	1937	-614	-1.3092	?	-45	-0.4584	-0.9036	476	-0.8933
1	-576 m^2	0.4939	soccer	NULL	1.2635 N	rabbit	1085	595	-1.1881	1169	-976	0.7735	-0.235	-61	-0.5256
2	1610 m^2	0.428	boxing	tONY, cHRIS	0.6495 N	guinea pig	1318	-1473	-0.7851	-207	-2733	1.3488	-0.2697	-570	0.2659
3	1717 m^2	-0.4679	motor sports	Reilly, Fabrice	0.1614 N	hamster	785	1994	1.1477	1745	665	0.0332	-0.834	784	0.3277
1	-659 m^2	0.5372	track & field	Inan	-0.7757 N	ferret	511	-293	0.7951	-431	1326	2.5473	-0.4602	-166	-0.8831
3	-142 m^2	0.5341	track & field	Reilly, Sam, Andrew	-0.2191 N	hamster	933	1210	1.1741	3306	-660	0.8527	0.2883	495	-0.6458
0	1054 m^2	1.398	basketball	Eriq	1.3338 N	Pig	460	252	0.7756	-470	886	1.1045	0.1322	615	1.517
3	1330 m^2	0.4073	TENNIS	Fabrice	1.1787 N	cat	607	1574	2.2235	200	-867	1.4228	3.5232	399	-0.285
2	79 m^2	-0.1734	volleyball	Tony, Lise	1.631 N	rat	596	-1701	0.9638	18	90	0.6843	2.2586	473	-2.7807
3	981 m^2	-1.0378	tennis	Sam, Fabrice, Reilly	-1.3222 N	cat	1107	503	0.7107	402	72	1.9051	1.8288	1922	1.4524
3	793 m^2	0.3619	tennis	Andrew, Reilly	1.3986 N	bird	188	1502	1.5087	1420	281	-0.2121	1.3259	1257	0.8911
3	1272 m^2	1.4821	motor sports	Fabrice, Andrew	-0.413 N	cat	1775	1547	0.3904	984	247	1.2359	0.6749	-542	-0.5381
0	170 m^2	1.2688	basketball	Eriq	1.607 N	pig	1242	1390	0.7389	1888	None	1.2048	-1.0914	-72	-0.2181
1	-209 m^2	0.5792	track & field	Sam, Andrew	1.7502 N	ferret	812	-672	0.3056	2562	2	0.4283	2.0266	808	0.7182
2	1459 m^2	0.544	volleyball	Tony, Chris	0.7934 N	dog	1338	-430	2.1379	406	434	-0.2487	-1.7409	244	0.0702
0	113 m^2	1.741	basketball	Eriq	-0.2187 N	pig	1316	1322	0.061	800	358	0.8281	0.5026	145	-0.224
2	735 m^2	-0.155	badminton	Tony, Lise	-0.6008 N	rat	29	-10	-0.1891	432	1385	1.0987	1.3013	981	-0.7819
0	3 m^2	1.1801	football	Eriq	0.8573 N	pig	561	1874	0.8099	378	1839	0.2861	-1.3823	900	0.1703
1	-501 m^2	1.1748	soccer	Inan	0.4326 N	rabbit	365	1010	-0.323	-16	-1596	1.6538	0.6192	-381	1.051
1	1155 m^2	0.2812	track & field	Inan	1.2482 N	?	-846	3	-0.4631	843	1625	0.5643	0.2746	565	0.0887
1	-372 m^2	-0.2651	track & field	Michael	1.0057 N	rabbit	178	-553	0.6273	713	-747	-0.5129	0.5924	343	0.6185
0	-908 m^2	0.4934	football	Eriq	-1.2869 N	pig	2268	-997	0.4763	489	678	-0.2258	0.3511	925	1.0562
3	1488 m^2	1.4487	tennis	Sam	-0.2647 N	hamster	2150	1121	0.0242	1204	-271	0.7314	1.6994	1268	0.4664
0	100 m^2	2.6925	baseball	Vani, Tony	0.5581 N	pig	1916	1427	-0.0586	-713	861	0.4185	0.3528	1675	0.628
0	187 m^2	0.5539	running	Eriq	0.8666 N	pig	3187	921	0.882	828	358	0.2634	1.5003	766	0.891
3	-420 m^2	0.9985	tennis	Andrew, Fabrice	2.3538 N	bird	1030	1258	0.6269	-252	-227	0.3079	-0.3486	1640	-0.3646
3	1380 m^2	-0.1526	golf	Andrew, Fabrice	-0.1453 N	cat	1311	388	0.3022	991	N/A	0.2	0.1228	1003	0.1391
3	1573 m^2	0.274	tennis	SAM, REILLY	-0.7789 N	hamster	-5	1720	0.3423	659	1089	-0.4228	-0.1623	n/a	-0.1481
0	833 m^2	0.441	running	Eriq	0.0506 N	pig	198	1501	-1.5121	741	1183	0.7775	-0.3018	900	0.4632
2	1360 m^2	0.3741	badminton		0.0354 N	reptile	1382	966	-0.0618	330	1351	0.9646	0.2771	681	-0.4344
3		-0.0922	tennis	Andrew	0.2292 N	bird	116	492	2.2642	272	-492	-0.4441	-0.1766	1282	-0.253
1	764 m^2	1.2878	track & field	Michael	1.1326 N	fish	-486	-536	-0.0996	1275	-8	-0.0874	0.4178	1189	0.3598
0	976 m^2	0.3152	football	Chris, Lise, Vani	0.3666 N	pig	2208	1129	0.0712	1246	907	0.1244	-0.3258	28	-0.284
3	1110 m^2	0.184	motor sports	Fabrice, Andrew	1.0662 N	hamster	1457	1600	-0.2591	1595	687	-0.0583	0.9526	-292	-0.1719
1	-1110 m^2	1.3117	track & field	Inan	0.7537 N	chicken	70	-40	0.2399	-998	1288	1.3725	-1.43	-162	-0.2302
2	863 m^2	1.4963	volleyball	Lise, Chris	1.6818 N	dog	78	478		-230		2.0863	0.4212	?	0.0584
3	1392 m^2	-0.5252	tennis	Reilly, Andrew, Sam	0.5071 N	hamster	-119	1373	0.3103	223	-849	1.402	1.3087	50	-0.4882
1	707 m^2	0.5182	soccer	Michael	2.2844 N	ferret	-1064	-149	-0.0581	254	-60	1.4796	0.9672	1130	0.0583
1	-6 m^2	0.6991	track & field	Inan	-0.1493 N	ferret	1487	137	0.6588	-41	439	1.2302	-0.9652	596	-0.7306
3	922 m^2	0.7987	tennis	Andrew, Sam, Fabrice	0.2563 N	cat	-630	840	0.372	1433	487	0.7692	-0.0965	1521	-0.4737
2	1135 m^2	0.1106	ice hockey	Vani, Tony	0.231 N	rat	47	273	1.086	2207	-42	2.1228	0.1652	-55	0.99
1	1170 m^2	0.6276	track & field	CHRIS, LISE, TONY	0.4105 N	rabbit	580	515	0.7814	1143	689	0.5732	0.6342	706	0.3213
1	-248 m^2	-0.498	boxing	Michael	0.6258 N	fish	-672	-1376	1.2471	111	-735	0.8287	0.9544	1713	-0.3563
2	970 m^2	-0.4116	boxing	Vani	-0.7751 N	rat	614	335	0.6985	1127	209	0.6884	-0.2681	512	0.2801
2	671 m^2	1.1363	badminton	Tony, Vani, Chris	2.0479 N	rat	671	-222	-0.6095	-506	-266	0.0424	-0.4353	-14	0.2214
0	-614 m^2	-0.0801	NULL	Eriq	-0.5615 N	pig	884	877	2.0482	986	717	0.3385	-0.6786	302	0.9559
1	-315 m^2	-0.1087	track & field	Inan	2.4851 N	ferret	713	13	1.3181	635	1489	1.0506	0.0594	-231	0.2662
0	45 m^2		running	Lise, Vani, Chris	-0.5379 N	pig	988	504	1.2724	1156	380	1.793	0.481	1025	0.4997
3	23 m^2	1.0253	tennis	Andrew	0.5549 N	bird	2032	1791	1.2203	2437	-1169	0.9021	2.0128	69	-0.7673
0	534 m^2	0.6589	basketball	Eriq	2.1549 N	pig	-461	1770	1.0795	-180	215	2.0484	-0.2864	1201	0.3461
1	1008 m^2	-0.2669	track & field	Michael	-0.6612 N	chicken	222	-45	0.008	634	-145	1.9596	1.9893	125	0.3844
2	-765 m^2	0.0914	boxing	Vani	0.3107 N	guinea pig	619	-158		-862	-824	1.4738	0.7648	418	-0.7363
3	1742 m^2	0.2399	tennis	Andrew, Fabrice, Reilly	-1.3607 N	hamster	-501	2124	1.0059	617	915	1.6452	-0.3764	1325	-0.3521
3	694 m^2	-0.2266	motor sports	Reilly	0.967 N	cat	892	1132	1.9962	1556	-1173	0.5404	0.9163	1242	-0.3409
3	768 m^2	0.0027	golf	Reilly, Fabrice, Andrew	1.2251 N	cat	1146	1552	0.2812	-52	-942	0.6618	0.8306	1361	0.7958
3	930 m^2	0.5086	golf	Fabrice	0.0044 N	cat	1839	1633	0.8969	705	-375	0.5217	1.4919	-64	0.1715
3	714 m^2	-0.3029	golf	Reilly	0.3194 N	bird	-424	389	-0.2267	830	-1074	1.021	-0.2239	2560	-0.0228
1	-649 m^2	-0.1134	soccer	Michael	0.3066 N	fish	-52	-398	-0.5112	512	-139	0.4558	-0.7737	19	-0.5712
3	890 m^2	-0.8933	golf	Fabrice, Andrew, Sam	-0.0793 N	bird	1918	316	-0.4701	2417	-981	1.5831	1.8152	175	-0.8229
1	-878 m^2	0.1998	track & field	Inan	-0.2201 N	rabbit	-1075	-1117	-1.2122	529	-82	0.0334	-0.1241	392	0.2445
0	-12 m^2	0.5049	basketball	Eriq	-0.9114 N	pig	122	107	0.375	-318	928	0.2824	-0.1343	2929	0.4011
0	640 m^2	0.0837	baseball	Eriq	-0.666 N	pig	-225	1164	-1.1381	22	1333	-0.6517	1.1112	567	0.5677
3	-51 m^2	0.3998	tennis	Fabrice, Reilly	0.9183 N	cat	2387	1301	0.1943	1094	-200	-0.032	1.5587	877	-0.4593
1	-1546 m^2	0.8236	soccer	Inan	1.0245 N	fish	88	1270	0.7454	1265	739	0.8845	2.3832	-1130	-1.492
0	-1394 m^2	-0.4839	baseball	Eriq	0.142 N	pig	3223	228	-1.1015	332	n/a	0.4826	0.6071	888	1.4654
0	-281 m^2	1.1868	football	Eriq	0.259 N	pig	992	1227	-0.387	548	353	1.3179	1.0196	1844	2.0742
1	653 m^2	-0.4638	track & field	Michael	-1.5383 N	chicken	541	297	0.3952	892	131	-0.0807	0.1407	544	0.2402
3	934 m^2		motor sports	Andrew, Fabrice	-1.5329 N	cat	2080	1665	0.9017	-244	1178	0.9108	0.894	237	0.2273
1	-88 m^2	-0.262	soccer	Michael	1.9108 N	Fish	-867	287	0.0948	1750	231	0.0349	0.7937	1047	-1.1369
3	276 m^2	0.5363	golf	Andrew, Fabrice	0.6535 N	bird	185	2619	0.0004	-487	187	0.9435	0.6625	147	-0.8558
1	127 m^2	0.1815	track & field	Michael	-1.232 N	ferret	-1208	1242	1.3473	-765	-42	0.4347	-0.7602	N/A	-0.5149
1	667 m^2	0.1748	track & field	Inan	2.8968 N	ferret	1096	1118	-0.3147	1159	-1876	0.3998	0.8819	464	0.8329
3	1501 m^2	-0.3705	tennis	Sam	0.9873 N	hamster	666	2006	1.5636	2248	683	0.1316	-0.6502	1094	0.6101
0	1170 m^2	1.6078	N/A	Eriq	-0.3161 N	pig	981	1056	1.3555	53	1573	0.6378	0.9716	N/A	0.9247
3	2348 m^2	-0.5485	tennis	Fabrice, Andrew	-1.0691 N	bird	-732	1735	-0.1381	1701	395	0.8354	1.2615	464	0.1905
0	268 m^2	0.5368	basketball	Eriq	-0.4396 N	pig	2710	1527	-1.4633	1033	1033	-0.1213	-0.1361	562	1.3088
2	2043 m^2	0.695	boxing	Chris, Tony, Lise	1.2462 N	dog	-67	-835	0.3055	1605	116	2.1989	0.0822	549	0.9173
3	547 m^2	0.0994	golf	Reilly, Andrew, Fabrice	0.6972 N	bird	-294	969	1.4568	899	502	0.5195	1.1083	1367	0.6193
3	923 m^2	0.0228	golf	Reilly	-0.2364 N	BIRD	747	2811	0.703	525	289	0.5862	1.9982	1131	0.5227
3	1774 m^2	0.5465	soccer	Sam	1.78 N	hamster	1332	422	-0.0389	-566	322	1.076	-0.6293	648	0.3722
1	-212 m^2	0.9061	soccer	Inan	-0.9677 N	ferret	-932	-669	-0.2876	172	-536	0.0869	0.9457	1156	0.4577
1	1527 m^2	0.7293	soccer	Michael	-1.2469 N	fish	201	-1020	-0.8714	-18	-201	-1.2899	0.7891	1743	0.2327
0	962 m^2	0.6645	basketball	eRIQ	2.0444 N	pig	1017	1589	-1.58	525	1992	0.8326	0.6431	2548	1.266
3	1813 m^2	0.1675	motor sports	Sam, Fabrice, Reilly	-0.5038 N	cat	347	2358	0.7044	2480	-657	0.536	-0.4598	1311	-0.6661
1	-94 m^2	0.5207	track & field	Inan	-0.7133 N	fish	1011	-438	1.2855	-714	N/A	-0.4825	1.7655	166	-1.1794
0	462 m^2	-0.2817	running	Eriq	0.3906 N	pig	2161	-504	0.2874	854	458	1.3432	0.37	1528	1.6239
0	42 m^2	0.6927	baseball	Eriq	-0.0427 N	pig	1134	894	-0.3837	1371	685	1.5146	1.3664	1806	0.8524
3	972 m^2	-0.2072	tennis	Reilly, Sam, Andrew	-1.6943 N	cat	2347	1831	1.6222	1707	-120	1.3332	0.1946	219	0.7062
0	-112 m^2	1.3094	Running	Eriq	0.8313 N	pig	959	1142	0.3845	192	1005	0.2121	1.3464	1735	-0.4658
0	-535 m^2	0.7892	basketball	Eriq	0.6589 N	pig	1440	1647	0.8718	-303	-453	0.7351	-0.7243	1662	0.1704
2	1514 m^2	0.5405	badminton	Vani, Lise	0.289 N	guinea pig	287	-657	-0.9801	-135	982	1.0531	2.2942	605	0.6057
0	150 m^2	0.6075	basketball	Eriq	0.5178 N	pig	1481	1279	0.3372	826	1042	1.6999	-1.2115	598	0.317
2	490 m^2	0.0395	boxing	Vani	1.7695 N	guinea pig	437	887	-0.1361	1628	569	-0.473	0.1489	-749	-0.204
3	1598 m^2	0.7022	golf	Andrew, Sam, Fabrice	0.4777 N	hamster	1039	1618	0.1477	1039	-782	1.6861	1.199	1626	0.2035
0	496 m^2	1.3617	baseball	eRIQ	0.7719 N	pig	43	204	0.4767	1074	1344	0.7761	2.4295	903	0.6123
0	-489 m^2	0.8459	running	Eriq	1.0838 N	pig	1107	1352	0.8324	-784	1360	1.6027	0.6949	1815	0.2763
1	-722 m^2	0.907	track & field	Inan	0.2837 N	chicken	999	362	0.2319	?	2408	1.063		-361	-0.1147
3	2005 m^2	1.5164	TENNIS	Andrew	0.1641 N	cat	1315	1043	1.709	1297	94	-0.7269	1.6127	584	-0.6828
0	1027 m^2	0.4098	basketball	Eriq	0.0732 N	pig	1132	1225	1.2923	515	888	0.4492	-0.6329	333	0.0867
1	-1531 m^2	1.4396	track & field	Michael	1.4806 N	rabbit	-445	14	-0.1356	344	-856	0.5514	0.9395	-211	0.7683
1	256 m^2	0.838	soccer	Eriq	1.1425 N	ferret	1455	225	-0.2582	-428	1042	-0.6304	0.0819	1481	-1.5387
2	907 m^2	0.3214	ice hockey	Lise	0.6722 N	rat	834	-270	1.5912	64	326	-0.5892	0.6429	-956	0.9936
2	810 m^2	0.6471	volleyball	Vani, Chris, Lise	-0.4444 N	rat	-74	-446	-0.4604	611	-1296	-0.286	0.0584	968	0.2582
2	1583 m^2	1.0711	boxing	Vani, Tony	1.3004 N	rat	784	-1095	0.235	1494	304	0.951	0.1429	861	-0.0143
2	209 m^2	-0.2182	boxing	vANI, cHRIS, tONY	0.2575 N	rat	1170	-1117	2.0197	971	NULL	1.5797	1.6503	776	1.0565
2	412 m^2	0.6253	ice hockey	Tony	0.804 N	rat	452	162	-0.5051	107	145	2.0032	2.9721	889	-0.1875
